id,name,family,mode,bars,steps,subdivision,density,polyphony,minNote,maxNote,colour,tags,bank,harmonyId,studyId,nodeId
"fourth-6be9021663b17a5657d13507","Kaleidoscope R0466 - percussion 2b","Kaleidoscope","rhythmic","2","32","4","0.875","1.5357142857142858","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, percussion, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-12","nmsgygm84_6"
"fourth-8ff5f628a5fd3b759f2a1b58","Kaleidoscope R0467 - kit 1b","Kaleidoscope","rhythmic","1","32","8","0.875","1.6785714285714286","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 8spq, dense, kit, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-50","nmsgyce1b_3"
"fourth-953cde7c4c8279d56fa05b3f","Kaleidoscope R0468 - kit 1b","Kaleidoscope","rhythmic","1","16","4","0.875","2.2142857142857144","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 4spq, dense, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-16","nmsgygm84_6"
"fourth-cf9bcc25ac94461232711b8f","Kaleidoscope R0469 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.90625","2.103448275862069","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, structure, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-57","nmsj93mq4_1"
"fourth-f40e94e79700ac5ea1495fe9","Kaleidoscope R0470 - percussion 0.5b","Kaleidoscope","rhythmic","0.5","4","2","1","1.75","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 2spq, dense, percussion, anchored, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-47","nmsgygm84_6"
"fourth-fcbf23159c5a6cdf99cf6c60","Kaleidoscope R0471 - percussion 2b","Kaleidoscope","rhythmic","2","32","4","0.96875","2","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, percussion, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-17","nmsj94lub_3"
"fourth-2a22475fe72012a2f5006c0d","Kaleidoscope R0472 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.96875","1.935483870967742","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-32","nmsj94lub_3"
"fourth-df47a82d5f1d98e7e9e36e38","Kaleidoscope R0473 - kit 8b","Kaleidoscope","rhythmic","8","128","4","0.859375","1.7454545454545454","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 8bar, straight, 4spq, dense, kit, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-40","nmsgygm84_6"
"fourth-2986a05a0cac4ab6e52a8b3f","Kaleidoscope R0474 - percussion 2b","Kaleidoscope","rhythmic","2","32","4","1","1.8125","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, percussion, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-5","nmsj94lub_3"
"fourth-d48241aa6344033cfb527867","Kaleidoscope R0475 - percussion 1b","Kaleidoscope","rhythmic","1","8","2","1","2","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 2spq, dense, percussion, anchored, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-3","nmsgyce1b_3"
